,score,year,logger,time_stamp
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/3-24-14/20140325_212300.wav,59.48287937765452,2014,6a,7.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/7-17-14/20140717_221200.wav,59.439748927441705,2014,6a,90.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/3-24-14/20140325_202300.wav,59.36602299017804,2014,5a,150.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-31-14/20140403_232800.wav,59.31163802787125,2014,4a,45.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-21-14/20140422_194100.wav,59.29553017551722,2014,4a,297.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/6-2-14/20140603_220800.wav,59.11429814684863,2014,6a,133.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-31-14/20140402_212800.wav,58.989947977515776,2014,4a,14.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-15-14/20140518_195900.wav,58.92525115197062,2014,4a,115.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/4-14-14/20140416_233700.wav,58.883906825329895,2014,6a,200.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/5-15-14/20140519_005900.wav,58.84470384892639,2014,6a,26.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/6-2-14/20140605_210900.wav,58.47467702155896,2014,5a,128.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/4-14-14/20140417_233800.wav,58.29418998752518,2014,6a,220.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-2-14/20140505_215000.wav,58.08236216209095,2014,4a,201.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/6-2-14/20140603_210800.wav,58.01830472985331,2014,6a,115.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/3-24-14/20140327_232400.wav,57.98892916834264,2014,5a,121.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-14-14/20140417_193800.wav,57.97763360774326,2014,4a,108.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-8-14/20140510_205300.wav,57.97245021702019,2014,4a,173.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-21-14/20140421_194000.wav,57.896939617556725,2014,4a,25.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/4-14-14/20140417_203800.wav,57.77903799236767,2014,6a,23.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/4-7-14/20140410_203300.wav,57.67641907048672,2014,6a,209.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/3-10-14/20140313_211500.wav,57.423896388996056,2014,5a,244.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-31-14/20140402_222800.wav,57.38667340240313,2014,4a,211.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/3-17-14/20140317_211700.wav,57.361440140748094,2014,5a,12.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-31-14/20140401_212700.wav,57.19585277209528,2014,4a,188.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/6-19-14/20140619_211500.wav,57.1622939232596,2014,4a,137.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/4-7-14/20140409_223200.wav,57.07802377253091,2014,6a,297.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-24-14/20140325_202300.wav,57.06068401987756,2014,4a,257.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/4-14-14/20140418_003800.wav,56.96869115750391,2014,5a,290.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-14-14/20140417_003700.wav,56.96191229389807,2014,4a,28.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-14-14/20140417_203800.wav,56.95899596745269,2014,4a,68.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/3-24-14/20140325_222300.wav,56.91985385977758,2014,5a,293.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/3-24-14/20140326_202300.wav,56.84873725185528,2014,5a,147.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-14-14/20140416_193700.wav,56.837496711837,2014,4a,29.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/7-7-14/20140707_201500.wav,56.6477919970271,2014,4a,99.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/3-17-14/20140320_191900.wav,56.59900534509207,2014,6a,21.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-24-14/20140325_192300.wav,56.5206381014201,2014,4a,188.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-14-14/20140415_213600.wav,56.45837513764796,2014,4a,84.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/4-14-14/20140417_223800.wav,56.39305067953467,2014,6a,77.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-7-14/20140410_193300.wav,56.131212504198345,2014,4a,159.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-21-14/20140421_204000.wav,56.07043633778534,2014,4a,216.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/4-14-14/20140417_193800.wav,56.05426000615739,2014,6a,298.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/3-17-14/20140319_231900.wav,55.87174938073167,2014,5a,180.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/6-2-14/20140604_220900.wav,55.85634241501021,2014,6a,52.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/3-17-14/20140318_191800.wav,55.754472483162566,2014,5a,214.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-31-14/20140403_222800.wav,55.71156443504883,2014,4a,232.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/3-17-14/20140319_221900.wav,55.59542022432891,2014,5a,204.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/3-24-14/20140325_232300.wav,55.45903612030316,2014,5a,205.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/7-17-14/20140720_221100.wav,55.39399181492228,2014,4a,193.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/6-2-14/20140602_210800.wav,55.39164276313954,2014,6a,178.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/3-24-14/20140325_222300.wav,55.22014743224352,2014,6a,218.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/3-10-14/20140314_001500.wav,55.1278065343324,2014,5a,36.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/4-14-14/20140414_193600.wav,55.11158282889144,2014,5a,268.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/3-10-14/20140312_211400.wav,55.08435930179198,2014,5a,183.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/5-15-14/20140516_005700.wav,55.06746400668461,2014,6a,136.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/5-15-14/20140518_205900.wav,54.96430235467737,2014,6a,14.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-17-14/20140318_221800.wav,54.86028390090744,2014,4a,21.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-24-14/20140327_192400.wav,54.42049934606092,2014,4a,291.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-8-14/20140510_225300.wav,54.33868253978799,2014,4a,162.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-24-14/20140325_212300.wav,54.25333542475105,2014,4a,220.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/4-14-14/20140416_003600.wav,54.22392124380664,2014,6a,166.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/6-2-14/20140605_220900.wav,54.13871354960372,2014,5a,238.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-14-14/20140416_003600.wav,54.00397161606071,2014,4a,50.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-24-14/20140324_212200.wav,53.89590718298224,2014,4a,236.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/6-12-14/20140614_201300.wav,53.88222990185417,2014,4a,258.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/6-12-14/20140614_211300.wav,53.83627159080396,2014,6a,74.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-15-14/20140516_215700.wav,53.58495412916297,2014,4a,253.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/4-14-14/20140418_003800.wav,53.4315910779321,2014,6a,0.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-21-14/20140421_224000.wav,53.41938121934276,2014,4a,159.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/4-14-14/20140415_223600.wav,53.37216680965928,2014,5a,46.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-31-14/20140403_212800.wav,53.3665691398522,2014,4a,240.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-31-14/20140401_002700.wav,53.172432103850376,2014,4a,254.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-31-14/20140402_232800.wav,53.151591414889765,2014,4a,18.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/4-14-14/20140414_213600.wav,53.141808033034245,2014,6a,288.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/6-12-14/20140612_201200.wav,53.11344667916581,2014,6a,165.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/4-21-14/20140425_004200.wav,53.05182630181216,2014,5a,18.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/4-14-14/20140417_003700.wav,53.03010909992664,2014,6a,60.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-7-14/20140411_003300.wav,52.95916757040201,2014,4a,205.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/7-24-14/20140726_200800.wav,52.918479109409,2014,4a,8.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/5-8-14/20140510_225300.wav,52.81674928583888,2014,6a,295.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/4-21-14/20140423_234200.wav,52.79170254042158,2014,5a,112.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-21-14/20140422_224100.wav,52.70010407393532,2014,4a,188.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/4-14-14/20140414_233600.wav,52.65686907419827,2014,5a,271.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/6-19-14/20140620_001500.wav,52.61712592965856,2014,4a,40.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/5-15-14/20140518_225900.wav,52.59042740238883,2014,6a,124.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/6-19-14/20140619_221500.wav,52.57855177821482,2014,4a,6.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/3-17-14/20140318_221800.wav,52.40696385380633,2014,5a,93.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/7-24-14/20140724_200900.wav,52.35938188578251,2014,5a,271.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/6-12-14/20140614_201300.wav,52.04248938116184,2014,6a,191.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/6-12-14/20140614_231300.wav,51.92406143306972,2014,4a,11.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-2-14/20140503_204800.wav,51.7335437635984,2014,4a,156.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/4-14-14/20140415_203600.wav,51.66715365868207,2014,6a,141.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-8-14/20140508_235200.wav,51.3939563437847,2014,4a,35.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-15-14/20140517_205800.wav,51.386563187867765,2014,4a,154.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/6-19-14/20140622_221500.wav,51.38375922240274,2014,4a,53.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/3-24-14/20140326_212300.wav,51.3766355454921,2014,6a,284.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-31-14/20140402_202800.wav,51.07814035694951,2014,4a,131.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-21-14/20140422_214100.wav,51.02225459056814,2014,4a,49.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-15-14/20140518_205900.wav,50.923137203573255,2014,4a,203.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-14-14/20140415_203600.wav,50.88161178628637,2014,4a,3.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/6-2-14/20140604_230900.wav,50.86774680418917,2014,4a,155.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-31-14/20140401_232700.wav,50.78945570763554,2014,4a,117.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/3-24-14/20140328_002400.wav,50.68843544213208,2014,5a,210.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/4-21-14/20140424_214200.wav,50.63192644388101,2014,5a,221.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-24-14/20140327_202400.wav,50.62846053736474,2014,4a,215.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/3-24-14/20140327_192400.wav,50.388120945673066,2014,6a,159.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/7-7-14/20140708_201500.wav,50.377466088584406,2014,5a,10.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-14-14/20140415_233600.wav,50.341196077552496,2014,4a,179.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/7-17-14/20140721_001100.wav,50.29953234720202,2014,4a,63.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/4-14-14/20140417_193800.wav,50.28988324019274,2014,5a,221.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-2-14/20140504_224900.wav,50.16141704152525,2014,4a,62.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-21-14/20140422_204100.wav,50.04990343865184,2014,4a,62.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/6-12-14/20140613_231300.wav,49.973357183170144,2014,4a,174.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/5-2-14/20140504_234900.wav,49.96297506941603,2014,5a,196.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-24-14/20140325_222300.wav,49.78635152587692,2014,4a,191.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-31-14/20140404_002800.wav,49.653281624791,2014,4a,119.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/7-7-14/20140707_211500.wav,49.5442825967181,2014,4a,0.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-2-14/20140505_225000.wav,49.46512199036979,2014,4a,144.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/6-12-14/20140615_221300.wav,49.35571050915672,2014,5a,281.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/4-14-14/20140416_003600.wav,49.3490966449595,2014,5a,261.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/3-24-14/20140325_212300.wav,49.28700400464992,2014,5a,266.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/5-15-14/20140515_205700.wav,49.22659188832722,2014,6a,108.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/5-15-14/20140515_225700.wav,49.12012862436823,2014,4a,142.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/5-2-14/20140505_235000.wav,49.052647420215294,2014,6a,198.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/3-24-14/20140324_202200.wav,49.033824026531605,2014,6a,275.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/4-14-14/20140414_223600.wav,49.02207508213435,2014,5a,51.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/5-15-14/20140515_195700.wav,49.00461245221718,2014,5a,255.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/4-21-14/20140425_004200.wav,48.87930272961325,2014,6a,268.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/7-7-14/20140707_231500.wav,48.83821476604965,2014,5a,240.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/4-14-14/20140416_203700.wav,48.563511209117024,2014,5a,5.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/6-2-14/20140605_230900.wav,48.51817439408903,2014,5a,103.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-24-14/20140325_232300.wav,48.17100866740301,2014,4a,290.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/3-24-14/20140327_192400.wav,48.12433770299722,2014,5a,29.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/3-17-14/20140319_211900.wav,47.99379379476672,2014,4a,131.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/4-14-14/20140417_233800.wav,47.95468955816074,2014,5a,5.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/3-17-14/20140318_001700.wav,47.94302663413497,2014,5a,268.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/6-2-14/20140602_220800.wav,47.886552916631054,2014,6a,49.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/3-17-14/20140320_221900.wav,47.79521974504914,2014,5a,110.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/4-14-14/20140415_233600.wav,47.67743754722333,2014,5a,285.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-21-14/20140424_194200.wav,47.674501592211314,2014,4a,255.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-14-14/20140417_233800.wav,47.674340922425685,2014,4a,112.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/5-8-14/20140510_235300.wav,47.6191987077339,2014,6a,215.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/7-7-14/20140708_211500.wav,47.60262832723112,2014,6a,63.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/5-2-14/20140504_194900.wav,47.47221245062696,2014,5a,131.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/3-24-14/20140326_202300.wav,47.40644646031817,2014,6a,164.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/4-21-14/20140424_204200.wav,47.36732295816008,2014,5a,270.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/3-10-14/20140310_201300.wav,47.317664672997424,2014,5a,137.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/4-14-14/20140416_193700.wav,47.28742207506178,2014,5a,263.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/6a/7-17-14/20140719_221200.wav,47.215048308404576,2014,6a,153.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/6-12-14/20140613_001200.wav,47.211953449796376,2014,4a,258.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/5a/4-14-14/20140414_213600.wav,47.20913666447824,2014,5a,174.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/4a/4-14-14/20140414_203600.wav,47.05178354008649,2014,4a,291.5
